stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1322,1322,HAWTHORNE AVE @ HIGHLAND ST,HAWTHORNE AVE & HIGHLAND AVE,40.927213,-73.902375,,,,,,0
1323,1323,WHITE PLAINS RD @ E 239TH ST,,40.899755,-73.852922,,,,,,0
1324,1324,WHITE PLAINS RD @ E 240TH ST,,40.901782,-73.851433,,,,,,0
1326,1326,WHITE PLAINS RD @ SAINT QUEN ST,,40.903878,-73.849858,,,,,,0
1327,1327,WHITE PLAINS RD @ E 242ND ST,,40.906116,-73.848971,,,,,,0
1328,1328,W 1ST ST @ VISTA PL,,40.907,-73.84833,,,,,,0
1329,1329,W 1ST ST @ S 15TH AVE,,40.908352,-73.847164,,,,,,0
1330,1330,W 1ST ST @ S 14TH AVE,,40.909116,-73.846663,,,,,,0
1331,1331,W 1ST ST @ S 15TH AVE,,40.908484,-73.847299,,,,,,0
1332,1332,WHITE PLAINS RD @ E 242ND ST,,40.905493,-73.849604,,,,,,0
1333,1333,WHITE PLAINS RD @ E 241ST ST,,40.903643,-73.850318,,,,,,0
1334,1334,WHITE PLAINS RD @ E 240TH ST,,40.902251,-73.85162,,,,,,0
1335,1335,WHITE PLAINS RD @ E 239TH ST,,40.900115,-73.853061,,,,,,0
1337,1337,GRAMATAN AVE @ W PROSPECT AVE,,40.912789,-73.837373,,,,,,0
1338,1338,N COLUMBUS AVE @ E LINCOLN AVE,,40.918836,-73.825137,,,,,,0
1339,1339,N COLUMBUS AVE @ ELLWOOD AVE,,40.920137,-73.824606,,,,,,0
1340,1340,N COLUMBUS AVE @ SHERMAN AVE,,40.9233,-73.822385,,,,,,0
1341,1341,N COLUMBUS AVE @ STUYVESANT PLAZA,N COLUMBUS AVE & STUYVESANT PLZ,40.924648,-73.821323,,,,,,0
1342,1342,N COLUMBUS AVE @ CALIFORNIA RD,,40.926484,-73.82095,,,,,,0
1343,1343,N COLUMBUS AVE @ OVERHILL RD,,40.929514,-73.820849,,,,,,0
1344,1344,WHITE PLAINS POST RD @ WINTER HILL,WHITE PLAINS RD & WINTER HILL RD,40.945911,-73.820458,,,,,,0
1345,1345,WHITE PLAINS POST RD @ HIGHLAND AV,WHITE PLAINS POST RD & HIGHLAND AVE,40.950239,-73.817374,,,,,,0
1346,1346,WHITE PLAINS POST RD @ CYPRESS RD,,40.952629,-73.815631,,,,,,0
1347,1347,WHITE PLAINS POST RD @ MILL RD,,40.955607,-73.813854,,,,,,0
1348,1348,WHITE PLAINS POST RD @ ORCHARD ST,,40.958167,-73.812839,,,,,,0
1349,1349,WHITE PLAINS POST RD @ LINCOLN AVE,,40.960203,-73.811732,,,,,,0
1350,1350,WHITE PLAINS POST RD @ WATER ST,,40.963996,-73.809717,,,,,,0
1351,1351,WHITE PLAINS POST RD @ CALIFORNIA,WHITE PLAINS POST RD & CALIFORNIA RD,40.965458,-73.808989,,,,,,0
1352,1352,WHITE PLAINS POST RD @ HILL DALE PL,,40.967797,-73.808122,,,,,,0
1353,1353,WHITE PLAINS RD @ VERNON HILLS SC,WHITE PLAINS POST RD,40.969684,-73.807067,,,,,,0
1354,1354,WHITE PLAINS POST RD @ BURNHAM RD,,40.969971,-73.807031,,,,,,0
1355,1355,WHITE PLAINS POST RD @ HILL DALE PL,,40.967413,-73.808444,,,,,,0
1356,1356,WHITE PLAINS POST RD @ CLUBWAY,,40.965706,-73.809099,,,,,,0
1357,1357,WHITE PLAINS POST RD @ LEEWOOD DR,,40.964024,-73.809914,,,,,,0
1358,1358,WHITE PLAINS POST RD @ LINCOLN AVE,,40.960082,-73.812002,,,,,,0
1359,1359,WHITE PLAINS POST RD @ ORCHARD ST,,40.958307,-73.812927,,,,,,0
1360,1360,WHITE PLAINS POST RD @ MILL RD,,40.95648,-73.813719,,,,,,0
